hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
MOJXCBTT_CDS_0008	phanotate	8	208	Menshen__NsnC_2525400098	1.000e-04	14.100	0.412	0.486	37	137
MOJXCBTT_CDS_0056	phanotate	56	286	DISARM_2__drmMII	2.200e-35	114.500	0.531	0.629	7	186
MOJXCBTT_CDS_0056	phanotate	56	286	Druantia_II__DruM	3.200e-50	163.500	0.837	0.993	2	285
MOJXCBTT_CDS_0056	phanotate	56	286	RM_Type_II__Type_II_MTases	8.300e-10	30.300	0.503	0.545	6	161
MOJXCBTT_CDS_0056	phanotate	56	286	RM_Type_II__Type_II_MTases	1.700e-23	75.200	0.508	0.594	4	173
MOJXCBTT_CDS_0056	phanotate	56	286	RM_Type_II__Type_II_MTases	5.800e-32	103.500	0.511	0.608	7	180
MOJXCBTT_CDS_0056	phanotate	56	286	RM_Type_II__Type_II_MTases	6.100e-47	152.500	0.828	0.972	7	284
MOJXCBTT_CDS_0057	phanotate	57	249	RM_Type_II__Type_II_MTases	7.300e-21	66.600	0.672	0.956	3	240
MOJXCBTT_CDS_0057	phanotate	57	249	RM_Type_II__Type_II_MTases	1.300e-39	128.400	0.680	0.984	2	246
MOJXCBTT_CDS_0057	phanotate	57	249	RM_Type_II__Type_II_MTases	1.900e-51	167.300	0.678	0.984	2	246
