#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	1778	1894	+	MINLOD_00015	4.4	9.9		
contig_1	22810	23640	+	MINLOD_00110	32.1	5.5		SO:0001217, UniParc:UPI0007DCD170, UniRef:UniRef100_A0A172JIA4, UniRef:UniRef50_A0A172JIA4, UniRef:UniRef90_A0A172JIA4
contig_1	33648	34049	-	MINLOD_00145	16.1	5.6		SO:0001217, UniParc:UPI000B9D71F0, UniRef:UniRef100_A0A223LCI1, UniRef:UniRef50_A0A223LCI1, UniRef:UniRef90_A0A223LCI1
contig_1	53707	54222	-	MINLOD_00240	20.0	5.3		SO:0001217, UniParc:UPI000B9D6B2C, UniRef:UniRef100_A0A223LD33, UniRef:UniRef50_A0A223LD33, UniRef:UniRef90_A0A223LD33
contig_1	66891	67178	-	MINLOD_00375	11.3	6.7		SO:0001217, UniParc:UPI0007DD8A45, UniRef:UniRef100_A0A172JI61, UniRef:UniRef50_A0A172JI61, UniRef:UniRef90_A0A172JI61
contig_1	82580	82759	+	MINLOD_00460	7.2	9.7		SO:0001217, UniParc:UPI000B9D5F0F, UniRef:UniRef100_A0A223LCT2, UniRef:UniRef50_A0A223LCT2, UniRef:UniRef90_A0A223LCT2
contig_1	88335	88835	+	MINLOD_00490	20.5	9.7		SO:0001217, UniParc:UPI0007DD84DD, UniRef:UniRef100_A0A223LCZ0, UniRef:UniRef50_A0A223LCZ0, UniRef:UniRef90_A0A223LCZ0
contig_1	114694	115038	-	MINLOD_00640	13.2	5.7		SO:0001217, UniParc:UPI0007DD90C6, UniRef:UniRef100_A0A172JI13, UniRef:UniRef50_A0A172JI13, UniRef:UniRef90_A0A172JI13
contig_1	120346	120492	-	MINLOD_00690	5.5	9.4		SO:0001217, UniParc:UPI0007DD086B, UniRef:UniRef100_A0A172JI02, UniRef:UniRef50_A0A172JI02, UniRef:UniRef90_A0A172JI02
contig_1	125101	125508	-	MINLOD_00730	16.0	4.9		SO:0001217, UniParc:UPI0007DD7A2B, UniRef:UniRef100_A0A172JHY5, UniRef:UniRef50_A0A172JHY5, UniRef:UniRef90_A0A172JHY5
contig_1	128311	128457	-	MINLOD_00750	5.8	9.6		SO:0001217, UniParc:UPI000B9D7474, UniRef:UniRef100_A0A223LDI6, UniRef:UniRef50_A0A223LDI6, UniRef:UniRef90_A0A223LDI6
contig_1	143669	143884	+	MINLOD_00845	8.4	5.3		SO:0001217, UniParc:UPI000B9D57D8, UniRef:UniRef100_A0A223LDH4, UniRef:UniRef50_A0A223LDH4, UniRef:UniRef90_A0A223LDH4
contig_1	171425	172570	-	MINLOD_01015	45.1	5.8		SO:0001217, UniParc:UPI000B9D5A37, UniRef:UniRef100_A0A223LDD9, UniRef:UniRef50_A0A223LDD9, UniRef:UniRef90_A0A223LDD9
contig_1	177384	178082	-	MINLOD_01050	28.4	5.6		SO:0001217, UniParc:UPI000B9D746C, UniRef:UniRef100_A0A223LCU4, UniRef:UniRef50_A0A223LCU4, UniRef:UniRef90_A0A223LCU4
contig_1	178094	178189	-	MINLOD_01055	3.5	4.1		
contig_1	187448	187666	-	MINLOD_01110	8.5	5.8		SO:0001217, UniParc:UPI0007DD3A7F, UniRef:UniRef100_A0A172JHS4, UniRef:UniRef50_A0A172JHS4, UniRef:UniRef90_A0A172JHS4
contig_1	197088	197330	-	MINLOD_01165	9.2	9.5		SO:0001217, UniParc:UPI0007DD1C1A, UniRef:UniRef100_A0A223LDA9, UniRef:UniRef50_A0A223LDA9, UniRef:UniRef90_A0A223LDA9
contig_1	200609	201088	-	MINLOD_01190	18.6	7.9		SO:0001217, UniParc:UPI0007DD665B, UniRef:UniRef100_A0A172JHQ8, UniRef:UniRef50_A0A172JHQ8, UniRef:UniRef90_A0A172JHQ8
contig_1	202707	203414	+	MINLOD_01205	27.1	9.7		SO:0001217, UniParc:UPI0007DDADF8, UniRef:UniRef100_A0A223LCR2, UniRef:UniRef50_A0A223LCR2, UniRef:UniRef90_A0A223LCR2
contig_1	203431	203625	+	MINLOD_01210	7.4	10.7		SO:0001217, UniParc:UPI0007DE0575, UniRef:UniRef100_A0A172JII2, UniRef:UniRef50_A0A172JII2, UniRef:UniRef90_A0A172JII2
contig_1	228375	228716	+	MINLOD_01320	13.8	9.6		SO:0001217, UniParc:UPI0007DD51A7, UniRef:UniRef100_A0A172JIH9, UniRef:UniRef50_A0A172JIH9, UniRef:UniRef90_A0A172JIH9
contig_1	249649	250374	-	MINLOD_01490	28.3	8.7		SO:0001217, UniParc:UPI000B9D781F, UniRef:UniRef100_A0A223LEK9, UniRef:UniRef50_A0A223LEK9, UniRef:UniRef90_A0A223LEK9
