# seqname1 seqname2 %id nid denomid %match nmatch denommatch
MK448228  MK448731   22.73    300   1320  48.49    917   1891
MK448228  MK448781   22.73    300   1320  48.49    917   1891
MK448228  MN270258   28.09    418   1488  65.50   1293   1974
MK448228  MT835550   61.02    908   1488  92.47   1473   1593
MK448228  MT836027   30.91    460   1488  66.85   1351   2021
MK448228  MT836071   30.04    447   1488  64.50   1308   2028
MK448228  MT836602   24.93    371   1488  61.40   1196   1948
MK448228  MT837010   22.84    296   1296  47.77    900   1884
MK448228  MZ422438   25.94    386   1488  61.35   1249   2036
MK448228  NC_030940  26.08    388   1488  61.77   1212   1962
MK448228  ON107264   29.37    437   1488  64.75   1297   2003
MK448228  ON470608   22.76    338   1485  56.31   1071   1902
MK448228  ON470622   99.87   1483   1485  99.80   1485   1488
MK448228  OQ555808   41.52    585   1409  80.84   1295   1602
MK448731  MK448781  100.00   1320   1320 100.00   1320   1320
MK448731  MN270258   39.92    527   1320  61.32   1178   1921
MK448731  MT835550   24.17    319   1320  53.50   1010   1888
MK448731  MT836027   39.32    519   1320  59.17   1191   2013
MK448731  MT836071   45.00    594   1320  66.39   1264   1904
MK448731  MT836602   33.94    448   1320  57.71   1089   1887
MK448731  MT837010   28.09    364   1296  47.80    846   1770
MK448731  MZ422438   36.89    487   1320  58.06   1145   1972
MK448731  NC_030940  32.35    427   1320  56.32   1083   1923
MK448731  ON107264   43.71    577   1320  65.28   1237   1895
MK448731  ON470608   23.71    313   1320  47.01    897   1908
MK448731  ON470622   22.65    299   1320  48.33    914   1891
MK448731  OQ555808   21.36    282   1320  47.43    878   1851
MK448781  MN270258   39.92    527   1320  61.32   1178   1921
MK448781  MT835550   24.17    319   1320  53.50   1010   1888
MK448781  MT836027   39.32    519   1320  59.17   1191   2013
MK448781  MT836071   45.00    594   1320  66.39   1264   1904
MK448781  MT836602   33.94    448   1320  57.71   1089   1887
MK448781  MT837010   28.09    364   1296  47.80    846   1770
MK448781  MZ422438   36.89    487   1320  58.06   1145   1972
MK448781  NC_030940  32.35    427   1320  56.32   1083   1923
MK448781  ON107264   43.71    577   1320  65.28   1237   1895
MK448781  ON470608   23.71    313   1320  47.01    897   1908
MK448781  ON470622   22.65    299   1320  48.33    914   1891
MK448781  OQ555808   21.36    282   1320  47.43    878   1851
MN270258  MT835550   26.30    415   1578  68.69   1367   1990
MN270258  MT836027   36.65    652   1779  79.56   1623   2040
MN270258  MT836071   48.06    855   1779  85.52   1672   1955
MN270258  MT836602   35.63    590   1656  75.61   1479   1956
MN270258  MT837010   34.18    443   1296  54.29   1082   1993
MN270258  MZ422438   38.45    684   1779  76.51   1550   2026
MN270258  NC_030940  32.21    543   1686  76.88   1506   1959
MN270258  ON107264   50.25    894   1779  87.52   1676   1915
MN270258  ON470608   31.31    465   1485  66.79   1307   1957
MN270258  ON470622   28.01    416   1485  65.35   1290   1974
MN270258  OQ555808   24.98    352   1409  62.07   1221   1967
MT835550  MT836027   29.85    471   1578  70.79   1435   2027
MT835550  MT836071   28.58    451   1578  68.44   1392   2034
MT835550  MT836602   24.84    392   1578  64.16   1264   1970
MT835550  MT837010   23.23    301   1296  50.71    967   1907
MT835550  MZ422438   24.27    383   1578  64.88   1328   2047
MT835550  NC_030940  27.12    428   1578  64.68   1282   1982
MT835550  ON107264   27.69    437   1578  68.66   1380   2010
MT835550  ON470608   24.85    369   1485  58.87   1135   1928
MT835550  ON470622   60.81    903   1485  92.28   1470   1593
MT835550  OQ555808   42.58    600   1409  84.50   1368   1619
MT836027  MT836071   37.66    696   1848  81.17   1672   2060
MT836027  MT836602   37.56    622   1656  79.33   1566   1974
MT836027  MT837010   36.03    467   1296  56.19   1144   2036
MT836027  MZ422438   34.78    625   1797  77.65   1609   2072
MT836027  NC_030940  35.65    601   1686  79.76   1584   1986
MT836027  ON107264   37.58    681   1812  79.16   1633   2063
MT836027  ON470608   29.70    441   1485  60.58   1271   2098
MT836027  ON470622   30.84    458   1485  66.70   1348   2021
MT836027  OQ555808   27.11    382   1409  63.59   1280   2013
MT836071  MT836602   37.26    617   1656  74.85   1500   2004
MT836071  MT837010   35.26    457   1296  54.50   1109   2035
