# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	72	383	+	DKHKHP_00005		Aminoglycoside nucleotidyltransferase ANT(9)	SO:0001217, UniRef:UniRef50_A0A7T8KSC6
contig_1	cds	539	814	-	DKHKHP_00010		ImpB/MucB/SamB family protein	SO:0001217, UniParc:UPI0018624954, UniRef:UniRef100_A0A7G3MQV5, UniRef:UniRef50_A0A1F0BS95, UniRef:UniRef90_A0A7G3MQV5
contig_1	cds	937	1164	-	DKHKHP_00015		Phage protein	SO:0001217, UniParc:UPI001861775C, UniRef:UniRef100_A0A7G3MLV1, UniRef:UniRef50_W1TRJ1, UniRef:UniRef90_A0A0Z8JL42
contig_1	cds	1167	1856	-	DKHKHP_00020		Phage repressor protein	SO:0001217, UniParc:UPI00186064B5, UniRef:UniRef100_A0A7G3MHJ5, UniRef:UniRef50_G5JRD5, UniRef:UniRef90_A0A116N2Y2
contig_1	cds	1981	3042	-	DKHKHP_00025		NERD domain-containing protein	SO:0001217, UniParc:UPI0018623FC0, UniRef:UniRef100_A0A7G3MIY0, UniRef:UniRef50_A0A0R1YH14, UniRef:UniRef90_A0A7G3MIY0
contig_1	cds	3069	4181	+	DKHKHP_00030		Cytosine-specific methyltransferase	SO:0001217, UniParc:UPI00185F730A, UniRef:UniRef100_A0A7G3MKJ5, UniRef:UniRef50_A0A857ESS4, UniRef:UniRef90_A0A7G3MKJ5
contig_1	cds	4305	5354	-	DKHKHP_00035		Restriction endonuclease	SO:0001217, UniParc:UPI001861BDDB, UniRef:UniRef100_A0A7G3MLF6, UniRef:UniRef50_A0A7G3MLF6, UniRef:UniRef90_A0A7G3MLF6
contig_1	cds	5448	7316	+	DKHKHP_00040		HTH cro/C1-type domain-containing protein	SO:0001217, UniParc:UPI001862F084, UniRef:UniRef100_A0A7G3MPD6, UniRef:UniRef50_G5KDZ0, UniRef:UniRef90_A0A6N3CCV5
contig_1	cds	7719	8324	+	DKHKHP_00045		Sigma-70 family RNA polymerase sigma factor	RefSeq:WP_114866593.1, SO:0001217, UniParc:UPI000E0A8146, UniRef:UniRef100_A0A345S279, UniRef:UniRef50_A0A139Q9Q2, UniRef:UniRef90_A0A345S279
contig_1	cds	8364	10319	-	DKHKHP_00050		POLAc domain-containing protein	SO:0001217, UniParc:UPI001860976A, UniRef:UniRef100_A0A7G3MIC4, UniRef:UniRef50_W6SDU0, UniRef:UniRef90_A0A4T2HF39
