locus_tag	ftype	length_bp	gene	EC_number	COG	product
LC680885_00001	CDS	2544				unannotated protein
LC680885_00002	CDS	837				unannotated protein
LC680885_00003	CDS	219				unannotated protein
LC680885_00004	CDS	669				unannotated protein
LC680885_00005	CDS	585				unannotated protein
LC680885_00006	CDS	714				unannotated protein
LC680885_00007	CDS	636				unannotated protein
LC680885_00008	CDS	741				unannotated protein
LC680885_00009	CDS	240				unannotated protein
LC680885_00010	CDS	1023				unannotated protein
LC680885_00011	CDS	687				unannotated protein
LC680885_00012	CDS	1605				unannotated protein
LC680885_00013	CDS	1155				unannotated protein
LC680885_00014	CDS	2034				unannotated protein
LC680885_00015	CDS	792				unannotated protein
LC680885_00016	CDS	747				unannotated protein
LC680885_00017	CDS	240				unannotated protein
LC680885_00018	CDS	201				unannotated protein
LC680885_00019	CDS	405				unannotated protein
LC680885_00020	CDS	2202				unannotated protein
LC680885_00021	CDS	219				unannotated protein
LC680885_00022	CDS	1071				unannotated protein
LC680885_00023	CDS	747				unannotated protein
LC680885_00024	CDS	195				unannotated protein
LC680885_00025	CDS	3153				unannotated protein
LC680885_00026	CDS	807				unannotated protein
LC680885_00027	CDS	2166				unannotated protein
LC680885_00028	CDS	1461				unannotated protein
LC680885_00029	CDS	5883				unannotated protein
LC680885_00030	CDS	5979				unannotated protein
LC680885_00031	CDS	654				unannotated protein
LC680885_00032	CDS	912				unannotated protein
LC680885_00033	CDS	1209				unannotated protein
LC680885_00034	CDS	252				unannotated protein
LC680885_00035	CDS	198				unannotated protein
LC680885_00036	CDS	456				unannotated protein
LC680885_00037	CDS	279				unannotated protein
LC680885_00038	CDS	276				unannotated protein
LC680885_00039	CDS	279				unannotated protein
LC680885_00040	CDS	228				unannotated protein
LC680885_00041	CDS	192				unannotated protein
LC680885_00042	CDS	2229				unannotated protein
LC680885_00043	CDS	1545				unannotated protein
LC680885_00044	CDS	1926				unannotated protein
LC680885_00045	CDS	2064				unannotated protein
LC680885_00046	CDS	1188				unannotated protein
LC680885_00047	CDS	714				unannotated protein
LC680885_00048	CDS	660				unannotated protein
LC680885_00049	CDS	612				unannotated protein
LC680885_00050	CDS	642				unannotated protein
LC680885_00051	CDS	276				unannotated protein
LC680885_00052	CDS	1935				unannotated protein
LC680885_00053	CDS	579				unannotated protein
LC680885_00054	CDS	720				unannotated protein
LC680885_00055	CDS	1512				unannotated protein
LC680885_00056	CDS	300				unannotated protein
LC680885_00057	CDS	483				unannotated protein
LC680885_00058	CDS	702				unannotated protein
LC680885_00059	CDS	492				unannotated protein
LC680885_00060	CDS	177				unannotated protein
LC680885_00061	CDS	654				unannotated protein
LC680885_00062	CDS	609				unannotated protein
LC680885_00063	CDS	621				unannotated protein
LC680885_00064	CDS	564				unannotated protein
LC680885_00065	CDS	624				unannotated protein
LC680885_00066	CDS	612				unannotated protein
LC680885_00067	CDS	780				unannotated protein
LC680885_00068	CDS	366				unannotated protein
LC680885_00069	CDS	126				unannotated protein
LC680885_00070	CDS	402				unannotated protein
LC680885_00071	CDS	777				unannotated protein
LC680885_00072	CDS	819				unannotated protein
LC680885_00073	CDS	741				unannotated protein
LC680885_00074	CDS	783				unannotated protein
LC680885_00075	CDS	798				unannotated protein
LC680885_00076	CDS	2736				unannotated protein
LC680885_00077	CDS	288				unannotated protein
LC680885_00078	CDS	153				unannotated protein
LC680885_00079	CDS	1722				unannotated protein
LC680885_00080	CDS	783				unannotated protein
LC680885_00081	CDS	2445				unannotated protein
LC680885_00082	CDS	1914				unannotated protein
LC680885_00083	CDS	291				unannotated protein
LC680885_00084	CDS	447				unannotated protein
LC680885_00085	CDS	1548				unannotated protein
LC680885_00086	CDS	711				unannotated protein
LC680885_00087	CDS	657				unannotated protein
LC680885_00088	CDS	600				unannotated protein
LC680885_00089	CDS	1245				unannotated protein
LC680885_00090	CDS	837				unannotated protein
LC680885_00091	CDS	1431				unannotated protein
LC680885_00092	CDS	549				unannotated protein
LC680885_00093	CDS	798				unannotated protein
LC680885_00094	CDS	951				unannotated protein
LC680885_00095	CDS	2340				unannotated protein
LC680885_00096	CDS	1926				unannotated protein
LC680885_00097	CDS	1269				unannotated protein
LC680885_00098	CDS	510				unannotated protein
LC680885_00099	CDS	1029				unannotated protein
LC680885_00100	CDS	4254				unannotated protein
LC680885_00101	CDS	1227				unannotated protein
LC680885_00102	CDS	2076				unannotated protein
LC680885_00103	tRNA	73				tRNA-Asn(gtt)
LC680885_00104	CDS	1950				unannotated protein
LC680885_00105	CDS	684				unannotated protein
LC680885_00106	CDS	2085				unannotated protein
LC680885_00107	CDS	612				unannotated protein
LC680885_00108	CDS	555				unannotated protein
LC680885_00109	CDS	180				unannotated protein
LC680885_00110	CDS	492				unannotated protein
LC680885_00111	CDS	768				unannotated protein
LC680885_00112	CDS	135				unannotated protein
LC680885_00113	CDS	561				unannotated protein
LC680885_00114	CDS	732				unannotated protein
LC680885_00115	CDS	402				unannotated protein
LC680885_00116	CDS	1512				unannotated protein
LC680885_00117	CDS	201				unannotated protein
LC680885_00118	CDS	294				unannotated protein
LC680885_00119	CDS	1743				unannotated protein
LC680885_00120	CDS	774				unannotated protein
LC680885_00121	CDS	1734				unannotated protein
LC680885_00122	CDS	1140				unannotated protein
LC680885_00123	CDS	1275				unannotated protein
LC680885_00124	CDS	735				unannotated protein
LC680885_00125	CDS	795				unannotated protein
LC680885_00126	CDS	1032				unannotated protein
LC680885_00127	CDS	1470				unannotated protein
LC680885_00128	CDS	135				unannotated protein
LC680885_00129	CDS	522				unannotated protein
LC680885_00130	CDS	516				unannotated protein
LC680885_00131	CDS	453				unannotated protein
LC680885_00132	CDS	969				unannotated protein
LC680885_00133	CDS	2988				unannotated protein
LC680885_00134	CDS	981				unannotated protein
LC680885_00135	CDS	1743				unannotated protein
LC680885_00136	CDS	1143				unannotated protein
LC680885_00137	CDS	384				unannotated protein
LC680885_00138	CDS	477				unannotated protein
LC680885_00139	CDS	900				unannotated protein
LC680885_00140	CDS	4956				unannotated protein
LC680885_00141	CDS	5244				unannotated protein
LC680885_00142	CDS	660				unannotated protein
LC680885_00143	CDS	1467				unannotated protein
