# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	302	487	-	EONEOI_00005		hypothetical protein	
contig_1	cds	1071	2756	+	EONEOI_00010	ltrA	group II intron reverse transcriptase/maturase	RefSeq:WP_003099598.1, SO:0001217, UniParc:UPI0000E448D7, UniRef:UniRef100_A0A0F6U9C1, UniRef:UniRef50_A0A232CLD0, UniRef:UniRef90_A0A0F6U9C1
contig_1	tRNA	2854	2930	+	EONEOI_00015	trnI	tRNA-Ile2(cat)	SO:0000263
contig_1	cds	4061	4300	-	EONEOI_00020		XRE family transcriptional regulator	RefSeq:WP_019725804.1, SO:0001217, UniParc:UPI0002EB33A2, UniRef:UniRef100_A0A8G6FXQ9, UniRef:UniRef50_A0A0C5E8I1, UniRef:UniRef90_A0A8G6FXQ9
contig_1	cds	4398	4628	+	EONEOI_00025		Regulatory protein	RefSeq:WP_019725803.1, SO:0001217, UniParc:UPI0002D34AC3, UniRef:UniRef100_A0A8G6K885, UniRef:UniRef50_A0A1C7BNW2, UniRef:UniRef90_A0A8G6K885
contig_1	cds	4638	7328	+	EONEOI_00030		Toprim domain-containing protein	RefSeq:WP_019725802.1, SO:0001217, UniParc:UPI0002F0D6FD, UniRef:UniRef100_A0A0U3TH43, UniRef:UniRef50_A0A263NQC3, UniRef:UniRef90_A0A1C7B9J8
contig_1	cds	7770	8171	+	EONEOI_00035		QslA-E domain-containing protein	RefSeq:WP_019725801.1, SO:0001217, UniParc:UPI00030B1716, UniRef:UniRef100_A0A0U4IIM6, UniRef:UniRef50_A0A1C7BCK5, UniRef:UniRef90_A0A1C7BCK5
contig_1	cds	8187	8534	+	EONEOI_00040		DUF5063 domain-containing protein	RefSeq:WP_019725800.1, SO:0001217, UniParc:UPI0002E680A6, UniRef:UniRef100_A0A0U4JP55, UniRef:UniRef50_A0A1C7BMF7, UniRef:UniRef90_A0A1C7BMF7
contig_1	cds	8564	8923	+	EONEOI_00045		ATP-binding protein	RefSeq:WP_019725799.1, SO:0001217, UniParc:UPI00031AD3F5, UniRef:UniRef100_A0A0U4JXA4, UniRef:UniRef50_A0A1C7BFX3, UniRef:UniRef90_A0A1C7BFX3
contig_1	cds	9253	9498	+	EONEOI_00050		Arc family DNA-binding protein	RefSeq:WP_019725797.1, SO:0001217, UniParc:UPI000368798D, UniRef:UniRef100_A0A8G6FWL0, UniRef:UniRef50_A0A2R3IQU7, UniRef:UniRef90_A0A8G6FWL0
contig_1	cds	9722	10000	+	EONEOI_00055	pilZ	PilZ domain-containing protein	RefSeq:WP_019725795.1, SO:0001217, UniParc:UPI0002EF50C3, UniRef:UniRef100_A0A0U4B0R1, UniRef:UniRef50_A0A0U4B0R1, UniRef:UniRef90_A0A0U4B0R1
contig_1	cds	10378	10587	+	EONEOI_00060		ClbS/DfsB family four-helix bundle protein	SO:0001217, UniParc:UPI0003BB2F3E, UniRef:UniRef100_A0A0U4IJ68, UniRef:UniRef50_A0A0U4IJ68, UniRef:UniRef90_A0A0U4IJ68
contig_1	cds	10566	10823	-	EONEOI_00065		Transcriptional regulator	RefSeq:WP_019725794.1, SO:0001217, UniParc:UPI000360F463, UniRef:UniRef100_A0A8G6FW12, UniRef:UniRef50_A0A0G5Z559, UniRef:UniRef90_A0A8G6FW12
contig_1	cds	10868	11641	-	EONEOI_00070		Phage portal protein	SO:0001217, UniRef:UniRef50_A0A7C8LV04
contig_1	cds	11634	13823	-	EONEOI_00075		Terminase-6C domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1C7B9I5, UniRef:UniRef90_A0A1C7B9I5
contig_1	cds	13840	14793	+	EONEOI_00080		Capsid scaffolding protein	RefSeq:WP_019725791.1, SO:0001217, UniParc:UPI00035D6489, UniRef:UniRef100_A0A8G6FYU7, UniRef:UniRef50_A0A1C7BCJ4, UniRef:UniRef90_A0A1C7BCJ4
