locus_tag	ftype	length_bp	gene	EC_number	COG	product
MT836602_00001	CDS	366				unannotated protein
MT836602_00002	CDS	858				unannotated protein
MT836602_00003	CDS	516				unannotated protein
MT836602_00004	CDS	648				unannotated protein
MT836602_00005	CDS	732				unannotated protein
MT836602_00006	CDS	1656				unannotated protein
MT836602_00007	CDS	1569				unannotated protein
MT836602_00008	CDS	336				unannotated protein
MT836602_00009	CDS	507				unannotated protein
MT836602_00010	CDS	1545				unannotated protein
MT836602_00011	CDS	1416				unannotated protein
MT836602_00012	CDS	699				unannotated protein
MT836602_00013	CDS	669				unannotated protein
MT836602_00014	CDS	102				unannotated protein
MT836602_00015	CDS	195				unannotated protein
MT836602_00016	CDS	1056				unannotated protein
MT836602_00017	CDS	627				unannotated protein
MT836602_00018	CDS	612				unannotated protein
