locus_tag	ftype	length_bp	gene	EC_number	COG	product
NC_043027_00001	CDS	459				unannotated protein
NC_043027_00002	CDS	642				unannotated protein
NC_043027_00003	CDS	1596				unannotated protein
NC_043027_00004	CDS	972				unannotated protein
NC_043027_00005	CDS	189				unannotated protein
NC_043027_00006	CDS	714				unannotated protein
NC_043027_00007	CDS	606				unannotated protein
NC_043027_00008	CDS	1215				unannotated protein
NC_043027_00009	CDS	771				unannotated protein
NC_043027_00010	CDS	711				unannotated protein
NC_043027_00011	CDS	747				unannotated protein
NC_043027_00012	CDS	2964				unannotated protein
NC_043027_00013	CDS	798				unannotated protein
NC_043027_00014	CDS	2196				unannotated protein
NC_043027_00015	CDS	717				unannotated protein
NC_043027_00016	CDS	237				unannotated protein
NC_043027_00017	CDS	594				unannotated protein
NC_043027_00018	CDS	1665				unannotated protein
NC_043027_00019	CDS	255				unannotated protein
NC_043027_00020	CDS	381				unannotated protein
NC_043027_00021	CDS	255				unannotated protein
NC_043027_00022	CDS	471				unannotated protein
NC_043027_00023	CDS	501				unannotated protein
NC_043027_00024	CDS	2736				unannotated protein
NC_043027_00025	CDS	420				unannotated protein
NC_043027_00026	CDS	144				unannotated protein
NC_043027_00027	CDS	687				unannotated protein
NC_043027_00028	CDS	774				unannotated protein
NC_043027_00029	CDS	180				unannotated protein
NC_043027_00030	CDS	165				unannotated protein
NC_043027_00031	CDS	1485				unannotated protein
NC_043027_00032	CDS	909				unannotated protein
NC_043027_00033	CDS	1173				unannotated protein
NC_043027_00034	CDS	264				unannotated protein
NC_043027_00035	CDS	462				unannotated protein
NC_043027_00036	CDS	222				unannotated protein
NC_043027_00037	CDS	726				unannotated protein
NC_043027_00038	CDS	1926				unannotated protein
NC_043027_00039	CDS	300				unannotated protein
NC_043027_00040	CDS	1896				unannotated protein
NC_043027_00041	CDS	591				unannotated protein
NC_043027_00042	CDS	1434				unannotated protein
NC_043027_00043	CDS	891				unannotated protein
NC_043027_00044	CDS	558				unannotated protein
NC_043027_00045	CDS	171				unannotated protein
NC_043027_00046	CDS	288				unannotated protein
NC_043027_00047	CDS	1026				unannotated protein
NC_043027_00048	CDS	339				unannotated protein
NC_043027_00049	CDS	459				unannotated protein
NC_043027_00050	CDS	597				unannotated protein
NC_043027_00051	CDS	1188				unannotated protein
NC_043027_00052	CDS	810				unannotated protein
NC_043027_00053	CDS	216				unannotated protein
NC_043027_00054	CDS	330				unannotated protein
NC_043027_00055	CDS	924				unannotated protein
NC_043027_00056	CDS	351				unannotated protein
NC_043027_00057	CDS	360				unannotated protein
NC_043027_00058	CDS	291				unannotated protein
NC_043027_00059	CDS	153				unannotated protein
NC_043027_00060	CDS	465				unannotated protein
NC_043027_00061	CDS	414				unannotated protein
NC_043027_00062	CDS	534				unannotated protein
NC_043027_00063	CDS	129				unannotated protein
NC_043027_00064	CDS	495				unannotated protein
NC_043027_00065	CDS	309				unannotated protein
NC_043027_00066	CDS	174				unannotated protein
NC_043027_00067	CDS	153				unannotated protein
NC_043027_00068	CDS	807				unannotated protein
NC_043027_00069	CDS	225				unannotated protein
NC_043027_00070	CDS	309				unannotated protein
NC_043027_00071	CDS	369				unannotated protein
NC_043027_00072	CDS	195				unannotated protein
NC_043027_00073	CDS	516				unannotated protein
NC_043027_00074	CDS	144				unannotated protein
NC_043027_00075	CDS	1755				unannotated protein
NC_043027_00076	CDS	1047				unannotated protein
NC_043027_00077	CDS	678				unannotated protein
NC_043027_00078	CDS	2799				unannotated protein
NC_043027_00079	CDS	261				unannotated protein
NC_043027_00080	CDS	582				unannotated protein
NC_043027_00081	CDS	1962				unannotated protein
NC_043027_00082	CDS	378				unannotated protein
NC_043027_00083	CDS	1173				unannotated protein
NC_043027_00084	CDS	1773				unannotated protein
NC_043027_00085	CDS	879				unannotated protein
NC_043027_00086	CDS	480				unannotated protein
NC_043027_00087	CDS	354				unannotated protein
NC_043027_00088	CDS	768				unannotated protein
NC_043027_00089	CDS	498				unannotated protein
NC_043027_00090	CDS	951				unannotated protein
NC_043027_00091	CDS	357				unannotated protein
NC_043027_00092	CDS	402				unannotated protein
NC_043027_00093	CDS	5778				unannotated protein
NC_043027_00094	CDS	1029				unannotated protein
NC_043027_00095	CDS	390				unannotated protein
NC_043027_00096	CDS	600				unannotated protein
NC_043027_00097	CDS	507				unannotated protein
NC_043027_00098	CDS	420				unannotated protein
NC_043027_00099	CDS	831				unannotated protein
NC_043027_00100	CDS	2715				unannotated protein
NC_043027_00101	CDS	933				unannotated protein
NC_043027_00102	CDS	1263				unannotated protein
NC_043027_00103	CDS	1035				unannotated protein
NC_043027_00104	CDS	1119				unannotated protein
NC_043027_00105	CDS	891				unannotated protein
NC_043027_00106	CDS	1191				unannotated protein
NC_043027_00107	CDS	183				unannotated protein
NC_043027_00108	CDS	1134				unannotated protein
NC_043027_00109	CDS	531				unannotated protein
NC_043027_00110	CDS	1050				unannotated protein
NC_043027_00111	CDS	2097				unannotated protein
NC_043027_00112	CDS	420				unannotated protein
NC_043027_00113	CDS	1038				unannotated protein
NC_043027_00114	CDS	1386				unannotated protein
NC_043027_00115	CDS	825				unannotated protein
NC_043027_00116	CDS	1689				unannotated protein
NC_043027_00117	CDS	333				unannotated protein
NC_043027_00118	CDS	117				unannotated protein
NC_043027_00119	CDS	1197				unannotated protein
NC_043027_00120	CDS	426				unannotated protein
NC_043027_00121	CDS	717				unannotated protein
NC_043027_00122	CDS	783				unannotated protein
NC_043027_00123	CDS	726				unannotated protein
NC_043027_00124	CDS	723				unannotated protein
NC_043027_00125	CDS	384				unannotated protein
NC_043027_00126	CDS	522				unannotated protein
NC_043027_00127	CDS	768				unannotated protein
NC_043027_00128	CDS	456				unannotated protein
NC_043027_00129	CDS	534				unannotated protein
NC_043027_00130	CDS	705				unannotated protein
NC_043027_00131	CDS	360				unannotated protein
NC_043027_00132	tRNA	76				tRNA-Asn(gtt)
NC_043027_00133	CDS	336				unannotated protein
NC_043027_00134	CDS	771				unannotated protein
NC_043027_00135	CDS	420				unannotated protein
NC_043027_00136	CDS	147				unannotated protein
NC_043027_00137	CDS	180				unannotated protein
NC_043027_00138	CDS	369				unannotated protein
NC_043027_00139	CDS	489				unannotated protein
NC_043027_00140	CDS	1251				unannotated protein
NC_043027_00141	CDS	285				unannotated protein
NC_043027_00142	CDS	237				unannotated protein
NC_043027_00143	CDS	456				unannotated protein
NC_043027_00144	CDS	327				unannotated protein
NC_043027_00145	CDS	501				unannotated protein
NC_043027_00146	CDS	243				unannotated protein
NC_043027_00147	CDS	162				unannotated protein
NC_043027_00148	CDS	735				unannotated protein
NC_043027_00149	CDS	2217				unannotated protein
NC_043027_00150	CDS	666				unannotated protein
NC_043027_00151	CDS	1206				unannotated protein
NC_043027_00152	CDS	1698				unannotated protein
NC_043027_00153	CDS	255				unannotated protein
NC_043027_00154	CDS	336				unannotated protein
NC_043027_00155	CDS	183				unannotated protein
NC_043027_00156	CDS	315				unannotated protein
NC_043027_00157	CDS	342				unannotated protein
NC_043027_00158	CDS	555				unannotated protein
NC_043027_00159	CDS	1149				unannotated protein
NC_043027_00160	CDS	1215				unannotated protein
NC_043027_00161	CDS	540				unannotated protein
NC_043027_00162	CDS	495				unannotated protein
NC_043027_00163	CDS	4317				unannotated protein
NC_043027_00164	CDS	1800				unannotated protein
NC_043027_00165	CDS	588				unannotated protein
NC_043027_00166	CDS	2832				unannotated protein
NC_043027_00167	CDS	2334				unannotated protein
NC_043027_00168	CDS	2553				unannotated protein
NC_043027_00169	CDS	933				unannotated protein
NC_043027_00170	CDS	378				unannotated protein
NC_043027_00171	CDS	186				unannotated protein
NC_043027_00172	CDS	441				unannotated protein
NC_043027_00173	CDS	402				unannotated protein
NC_043027_00174	CDS	396				unannotated protein
NC_043027_00175	CDS	618				unannotated protein
NC_043027_00176	CDS	750				unannotated protein
NC_043027_00177	CDS	333				unannotated protein
NC_043027_00178	CDS	561				unannotated protein
NC_043027_00179	CDS	195				unannotated protein
NC_043027_00180	CDS	708				unannotated protein
NC_043027_00181	CDS	204				unannotated protein
NC_043027_00182	CDS	1113				unannotated protein
NC_043027_00183	CDS	480				unannotated protein
NC_043027_00184	CDS	549				unannotated protein
NC_043027_00185	CDS	693				unannotated protein
NC_043027_00186	CDS	270				unannotated protein
NC_043027_00187	CDS	1686				unannotated protein
NC_043027_00188	CDS	243				unannotated protein
NC_043027_00189	CDS	492				unannotated protein
NC_043027_00190	CDS	2547				unannotated protein
NC_043027_00191	CDS	573				unannotated protein
NC_043027_00192	CDS	1956				unannotated protein
NC_043027_00193	CDS	636				unannotated protein
NC_043027_00194	CDS	165				unannotated protein
NC_043027_00195	CDS	450				unannotated protein
NC_043027_00196	CDS	1218				unannotated protein
NC_043027_00197	CDS	735				unannotated protein
NC_043027_00198	CDS	324				unannotated protein
NC_043027_00199	CDS	219				unannotated protein
NC_043027_00200	CDS	645				unannotated protein
NC_043027_00201	CDS	162				unannotated protein
NC_043027_00202	CDS	723				unannotated protein
NC_043027_00203	CDS	264				unannotated protein
NC_043027_00204	CDS	2304				unannotated protein
NC_043027_00205	CDS	798				unannotated protein
NC_043027_00206	CDS	363				unannotated protein
NC_043027_00207	CDS	795				unannotated protein
NC_043027_00208	CDS	1218				unannotated protein
NC_043027_00209	CDS	1416				unannotated protein
NC_043027_00210	CDS	96				unannotated protein
NC_043027_00211	CDS	699				unannotated protein
NC_043027_00212	CDS	135				unannotated protein
NC_043027_00213	CDS	1164				unannotated protein
NC_043027_00214	CDS	447				unannotated protein
NC_043027_00215	CDS	171				unannotated protein
NC_043027_00216	CDS	1233				unannotated protein
NC_043027_00217	CDS	1236				unannotated protein
NC_043027_00218	CDS	1146				unannotated protein
NC_043027_00219	CDS	450				unannotated protein
NC_043027_00220	CDS	411				unannotated protein
NC_043027_00221	CDS	516				unannotated protein
NC_043027_00222	CDS	906				unannotated protein
NC_043027_00223	CDS	903				unannotated protein
NC_043027_00224	CDS	447				unannotated protein
NC_043027_00225	CDS	219				unannotated protein
NC_043027_00226	CDS	2103				unannotated protein
NC_043027_00227	CDS	462				unannotated protein
NC_043027_00228	CDS	192				unannotated protein
NC_043027_00229	CDS	189				unannotated protein
NC_043027_00230	CDS	372				unannotated protein
NC_043027_00231	CDS	375				unannotated protein
NC_043027_00232	CDS	1266				unannotated protein
NC_043027_00233	CDS	1164				unannotated protein
NC_043027_00234	CDS	342				unannotated protein
NC_043027_00235	CDS	702				unannotated protein
NC_043027_00236	CDS	693				unannotated protein
NC_043027_00237	CDS	687				unannotated protein
NC_043027_00238	CDS	1044				unannotated protein
NC_043027_00239	CDS	2580				unannotated protein
NC_043027_00240	CDS	276				unannotated protein
NC_043027_00241	CDS	600				unannotated protein
NC_043027_00242	CDS	270				unannotated protein
NC_043027_00243	CDS	1011				unannotated protein
NC_043027_00244	CDS	624				unannotated protein
NC_043027_00245	CDS	351				unannotated protein
NC_043027_00246	CDS	693				unannotated protein
NC_043027_00247	CDS	210				unannotated protein
NC_043027_00248	CDS	627				unannotated protein
NC_043027_00249	CDS	2250				unannotated protein
NC_043027_00250	CDS	750				unannotated protein
NC_043027_00251	CDS	792				unannotated protein
NC_043027_00252	CDS	216				unannotated protein
NC_043027_00253	CDS	201				unannotated protein
NC_043027_00254	CDS	561				unannotated protein
