locus_tag	ftype	length_bp	gene	EC_number	COG	product
MN270258_00001	CDS	312				unannotated protein
MN270258_00002	CDS	276				unannotated protein
MN270258_00003	CDS	228				unannotated protein
MN270258_00004	CDS	690				unannotated protein
MN270258_00005	CDS	1062				unannotated protein
MN270258_00006	CDS	1113				unannotated protein
MN270258_00007	CDS	1050				unannotated protein
MN270258_00008	CDS	1869				unannotated protein
MN270258_00009	CDS	606				unannotated protein
MN270258_00010	CDS	1956				unannotated protein
MN270258_00011	CDS	168				unannotated protein
MN270258_00012	CDS	549				unannotated protein
MN270258_00013	CDS	1122				unannotated protein
MN270258_00014	CDS	324				unannotated protein
MN270258_00015	CDS	135				unannotated protein
MN270258_00016	CDS	2283				unannotated protein
MN270258_00017	CDS	282				unannotated protein
MN270258_00018	CDS	1377				unannotated protein
MN270258_00019	CDS	504				unannotated protein
MN270258_00020	CDS	216				unannotated protein
MN270258_00021	CDS	1038				unannotated protein
MN270258_00022	CDS	366				unannotated protein
MN270258_00023	CDS	462				unannotated protein
MN270258_00024	CDS	1257				unannotated protein
MN270258_00025	CDS	1260				unannotated protein
MN270258_00026	CDS	249				unannotated protein
MN270258_00027	CDS	213				unannotated protein
MN270258_00028	CDS	231				unannotated protein
MN270258_00029	CDS	474				unannotated protein
MN270258_00030	CDS	1593				unannotated protein
MN270258_00031	CDS	258				unannotated protein
MN270258_00032	CDS	372				unannotated protein
MN270258_00033	CDS	1284				unannotated protein
MN270258_00034	CDS	696				unannotated protein
MN270258_00035	CDS	1206				unannotated protein
MN270258_00036	CDS	258				unannotated protein
MN270258_00037	CDS	339				unannotated protein
MN270258_00038	CDS	369				unannotated protein
MN270258_00039	CDS	327				unannotated protein
MN270258_00040	CDS	570				unannotated protein
MN270258_00041	CDS	420				unannotated protein
MN270258_00042	CDS	2859				unannotated protein
MN270258_00043	CDS	723				unannotated protein
MN270258_00044	CDS	4548				unannotated protein
MN270258_00045	CDS	207				unannotated protein
MN270258_00046	CDS	369				unannotated protein
MN270258_00047	CDS	396				unannotated protein
MN270258_00048	CDS	1470				unannotated protein
MN270258_00049	CDS	1242				unannotated protein
MN270258_00050	CDS	1293				unannotated protein
MN270258_00051	CDS	375				unannotated protein
MN270258_00052	CDS	1920				unannotated protein
MN270258_00053	CDS	1038				unannotated protein
MN270258_00054	CDS	495				unannotated protein
MN270258_00055	CDS	900				unannotated protein
MN270258_00056	CDS	603				unannotated protein
MN270258_00057	CDS	168				unannotated protein
MN270258_00058	CDS	819				unannotated protein
MN270258_00059	CDS	1356				unannotated protein
MN270258_00060	CDS	429				unannotated protein
MN270258_00061	CDS	384				unannotated protein
MN270258_00062	CDS	234				unannotated protein
MN270258_00063	CDS	585				unannotated protein
MN270258_00064	CDS	489				unannotated protein
MN270258_00065	CDS	1818				unannotated protein
MN270258_00066	CDS	243				unannotated protein
MN270258_00067	CDS	849				unannotated protein
MN270258_00068	CDS	354				unannotated protein
MN270258_00069	CDS	2352				unannotated protein
MN270258_00070	CDS	2802				unannotated protein
MN270258_00071	CDS	1011				unannotated protein
MN270258_00072	CDS	288				unannotated protein
MN270258_00073	CDS	846				unannotated protein
MN270258_00074	CDS	591				unannotated protein
MN270258_00075	CDS	4896				unannotated protein
MN270258_00076	CDS	192				unannotated protein
MN270258_00077	CDS	552				unannotated protein
MN270258_00078	CDS	5463				unannotated protein
MN270258_00079	CDS	1779				unannotated protein
MN270258_00080	CDS	1344				unannotated protein
MN270258_00081	CDS	300				unannotated protein
MN270258_00082	CDS	291				unannotated protein
MN270258_00083	CDS	639				unannotated protein
MN270258_00084	CDS	1077				unannotated protein
MN270258_00085	CDS	228				unannotated protein
MN270258_00086	CDS	390				unannotated protein
MN270258_00087	CDS	291				unannotated protein
MN270258_00088	CDS	477				unannotated protein
MN270258_00089	CDS	783				unannotated protein
MN270258_00090	CDS	1230				unannotated protein
MN270258_00091	CDS	1620				unannotated protein
MN270258_00092	CDS	363				unannotated protein
MN270258_00093	CDS	366				unannotated protein
MN270258_00094	CDS	1884				unannotated protein
MN270258_00095	CDS	1374				unannotated protein
MN270258_00096	CDS	699				unannotated protein
MN270258_00097	CDS	1344				unannotated protein
MN270258_00098	CDS	702				unannotated protein
MN270258_00099	CDS	738				unannotated protein
MN270258_00100	CDS	687				unannotated protein
MN270258_00101	CDS	717				unannotated protein
MN270258_00102	CDS	405				unannotated protein
MN270258_00103	CDS	1755				unannotated protein
MN270258_00104	CDS	324				unannotated protein
MN270258_00105	CDS	426				unannotated protein
MN270258_00106	CDS	282				unannotated protein
MN270258_00107	CDS	363				unannotated protein
MN270258_00108	CDS	891				unannotated protein
MN270258_00109	CDS	720				unannotated protein
MN270258_00110	CDS	267				unannotated protein
MN270258_00111	CDS	192				unannotated protein
