hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
OPIPON_00640	MZ422438	128	403	recD_IV-D_1	1.800e-27	89.500	0.494	0.980	7	401
OPIPON_00795	MZ422438	155	598	RT_I_II_III_IV_V_VI_1	6.800e-39	127.300	0.697	0.348	50	257
OPIPON_00825	MZ422438	161	920	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	3.400e-11	36.600	0.655	0.433	490	887
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	4.600e-32	104.900	0.869	0.637	154	442
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	3.800e-32	105.500	0.869	0.628	157	441
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	1.100e-32	107.200	0.897	0.650	153	447
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	1.700e-36	119.700	0.907	0.626	159	442
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	3.300e-40	131.900	0.901	0.626	164	447
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	4.600e-32	104.900	0.869	0.637	154	442
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	3.800e-32	105.500	0.869	0.628	157	441
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	1.100e-32	107.200	0.897	0.650	153	447
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	1.700e-36	119.700	0.907	0.626	159	442
OPIPON_01015	MZ422438	199	454	Retron__RT_Tot	3.300e-40	131.900	0.901	0.626	164	447
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	3.400e-31	102.100	0.862	0.591	200	500
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	4.300e-32	104.900	0.878	0.597	200	503
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	7.500e-37	121.000	0.885	0.591	200	500
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	2.600e-37	122.400	0.888	0.582	204	499
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	7.300e-38	124.200	0.894	0.585	200	497
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	2.900e-43	142.000	0.901	0.587	201	499
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	3.400e-31	102.100	0.862	0.591	200	500
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	4.300e-32	104.900	0.878	0.597	200	503
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	7.500e-37	121.000	0.885	0.591	200	500
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	2.600e-37	122.400	0.888	0.582	204	499
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	7.300e-38	124.200	0.894	0.585	200	497
OPIPON_01025	MZ422438	201	509	Retron__RT_Tot	2.900e-43	142.000	0.901	0.587	201	499
