#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	22137	22637	-	IDGBMA_00115	20.5	9.7		SO:0001217, UniParc:UPI0007DD84DD, UniRef:UniRef100_A0A223LCZ0, UniRef:UniRef50_A0A223LCZ0, UniRef:UniRef90_A0A223LCZ0
contig_1	28213	28392	-	IDGBMA_00145	7.2	9.7		SO:0001217, UniParc:UPI000B9D5F0F, UniRef:UniRef100_A0A223LCT2, UniRef:UniRef50_A0A223LCT2, UniRef:UniRef90_A0A223LCT2
contig_1	43794	44081	+	IDGBMA_00230	11.3	6.7		SO:0001217, UniParc:UPI0007DD8A45, UniRef:UniRef100_A0A172JI61, UniRef:UniRef50_A0A172JI61, UniRef:UniRef90_A0A172JI61
contig_1	56751	57266	+	IDGBMA_00365	20.0	5.3		SO:0001217, UniParc:UPI000B9D6B2C, UniRef:UniRef100_A0A223LD33, UniRef:UniRef50_A0A223LD33, UniRef:UniRef90_A0A223LD33
contig_1	76924	77325	+	IDGBMA_00460	16.1	5.6		SO:0001217, UniParc:UPI000B9D71F0, UniRef:UniRef100_A0A223LCI1, UniRef:UniRef50_A0A223LCI1, UniRef:UniRef90_A0A223LCI1
contig_1	87393	88223	-	IDGBMA_00495	32.1	5.5		SO:0001217, UniParc:UPI0007DCD170, UniRef:UniRef100_A0A172JIA4, UniRef:UniRef50_A0A172JIA4, UniRef:UniRef90_A0A172JIA4
contig_1	109139	109255	-	IDGBMA_00590	4.4	9.9		
contig_1	112795	113520	+	IDGBMA_00615	28.3	8.7		SO:0001217, UniParc:UPI000B9D781F, UniRef:UniRef100_A0A223LEK9, UniRef:UniRef50_A0A223LEK9, UniRef:UniRef90_A0A223LEK9
contig_1	134453	134794	-	IDGBMA_00785	13.8	9.6		SO:0001217, UniParc:UPI0007DD51A7, UniRef:UniRef100_A0A172JIH9, UniRef:UniRef50_A0A172JIH9, UniRef:UniRef90_A0A172JIH9
contig_1	159544	159738	-	IDGBMA_00895	7.4	10.7		SO:0001217, UniParc:UPI0007DE0575, UniRef:UniRef100_A0A172JII2, UniRef:UniRef50_A0A172JII2, UniRef:UniRef90_A0A172JII2
contig_1	159755	160462	-	IDGBMA_00900	27.1	9.7		SO:0001217, UniParc:UPI0007DDADF8, UniRef:UniRef100_A0A223LCR2, UniRef:UniRef50_A0A223LCR2, UniRef:UniRef90_A0A223LCR2
contig_1	162081	162560	+	IDGBMA_00915	18.6	7.9		SO:0001217, UniParc:UPI0007DD665B, UniRef:UniRef100_A0A172JHQ8, UniRef:UniRef50_A0A172JHQ8, UniRef:UniRef90_A0A172JHQ8
contig_1	165839	166081	+	IDGBMA_00940	9.2	9.5		SO:0001217, UniParc:UPI0007DD1C1A, UniRef:UniRef100_A0A223LDA9, UniRef:UniRef50_A0A223LDA9, UniRef:UniRef90_A0A223LDA9
contig_1	175503	175721	+	IDGBMA_00995	8.5	5.8		SO:0001217, UniParc:UPI0007DD3A7F, UniRef:UniRef100_A0A172JHS4, UniRef:UniRef50_A0A172JHS4, UniRef:UniRef90_A0A172JHS4
contig_1	184980	185075	+	IDGBMA_01050	3.5	4.1		
contig_1	185087	185785	+	IDGBMA_01055	28.4	5.6		SO:0001217, UniParc:UPI000B9D746C, UniRef:UniRef100_A0A223LCU4, UniRef:UniRef50_A0A223LCU4, UniRef:UniRef90_A0A223LCU4
contig_1	190599	191744	+	IDGBMA_01090	45.1	5.8		SO:0001217, UniParc:UPI000B9D5A37, UniRef:UniRef100_A0A223LDD9, UniRef:UniRef50_A0A223LDD9, UniRef:UniRef90_A0A223LDD9
contig_1	219285	219500	-	IDGBMA_01260	8.4	5.3		SO:0001217, UniParc:UPI000B9D57D8, UniRef:UniRef100_A0A223LDH4, UniRef:UniRef50_A0A223LDH4, UniRef:UniRef90_A0A223LDH4
contig_1	234712	234858	+	IDGBMA_01355	5.8	9.6		SO:0001217, UniParc:UPI000B9D7474, UniRef:UniRef100_A0A223LDI6, UniRef:UniRef50_A0A223LDI6, UniRef:UniRef90_A0A223LDI6
contig_1	237661	238068	+	IDGBMA_01375	16.0	4.9		SO:0001217, UniParc:UPI0007DD7A2B, UniRef:UniRef100_A0A172JHY5, UniRef:UniRef50_A0A172JHY5, UniRef:UniRef90_A0A172JHY5
contig_1	242677	242823	+	IDGBMA_01415	5.5	9.4		SO:0001217, UniParc:UPI0007DD086B, UniRef:UniRef100_A0A172JI02, UniRef:UniRef50_A0A172JI02, UniRef:UniRef90_A0A172JI02
contig_1	248131	248475	+	IDGBMA_01465	13.2	5.7		SO:0001217, UniParc:UPI0007DD90C6, UniRef:UniRef100_A0A172JI13, UniRef:UniRef50_A0A172JI13, UniRef:UniRef90_A0A172JI13
