locus_tag	ftype	length_bp	gene	EC_number	COG	product
MK448888_00001	CDS	1071				unannotated protein
MK448888_00002	CDS	405				unannotated protein
MK448888_00003	CDS	381				unannotated protein
MK448888_00004	CDS	363				unannotated protein
MK448888_00005	CDS	165				unannotated protein
MK448888_00006	CDS	471				unannotated protein
MK448888_00007	CDS	210				unannotated protein
MK448888_00008	CDS	711				unannotated protein
MK448888_00009	CDS	285				unannotated protein
MK448888_00010	CDS	216				unannotated protein
MK448888_00011	CDS	1332				unannotated protein
MK448888_00012	CDS	603				unannotated protein
MK448888_00013	CDS	747				unannotated protein
MK448888_00014	CDS	822				unannotated protein
MK448888_00015	CDS	156				unannotated protein
MK448888_00016	CDS	492				unannotated protein
MK448888_00017	CDS	330				unannotated protein
MK448888_00018	CDS	357				unannotated protein
MK448888_00019	CDS	207				unannotated protein
MK448888_00020	CDS	417				unannotated protein
MK448888_00021	CDS	1320				unannotated protein
MK448888_00022	CDS	261				unannotated protein
MK448888_00023	CDS	348				unannotated protein
MK448888_00024	CDS	465				unannotated protein
MK448888_00025	CDS	543				unannotated protein
MK448888_00026	CDS	288				unannotated protein
MK448888_00027	CDS	360				unannotated protein
MK448888_00028	CDS	480				unannotated protein
MK448888_00029	CDS	1713				unannotated protein
MK448888_00030	CDS	1143				unannotated protein
MK448888_00031	CDS	543				unannotated protein
MK448888_00032	CDS	1263				unannotated protein
MK448888_00033	CDS	336				unannotated protein
MK448888_00034	CDS	306				unannotated protein
MK448888_00035	CDS	348				unannotated protein
MK448888_00036	CDS	345				unannotated protein
MK448888_00037	CDS	684				unannotated protein
MK448888_00038	CDS	477				unannotated protein
MK448888_00039	CDS	2736				unannotated protein
MK448888_00040	CDS	723				unannotated protein
MK448888_00041	CDS	3675				unannotated protein
MK448888_00042	CDS	231				unannotated protein
MK448888_00043	CDS	339				unannotated protein
MK448888_00044	CDS	411				unannotated protein
MK448888_00045	CDS	330				unannotated protein
MK448888_00046	CDS	1407				unannotated protein
MK448888_00047	CDS	186				unannotated protein
MK448888_00048	CDS	405				unannotated protein
