#Annotated with Bakta v1.9.1, https://github.com/oschwengers/bakta
#Database v5.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	7212	7490	+	ALMCIJ_00045	10.7	5.0		SO:0001217, UniParc:UPI001AF1B98E, UniRef:UniRef100_A0A7T7GT15, UniRef:UniRef50_A0A8B6MGJ1, UniRef:UniRef90_A0A8B6MGJ1
contig_1	10433	10528	+	ALMCIJ_00080	3.8	10.5		SO:0001217, UniRef:UniRef50_A0A7S9XHT5, UniRef:UniRef90_A0A7S9XHT5
contig_1	16413	16973	+	ALMCIJ_00145	22.8	9.5		SO:0001217, UniParc:UPI001AF24DAD, UniRef:UniRef100_A0A7T7K8M3, UniRef:UniRef50_A0A7T7K8M3, UniRef:UniRef90_A0A7T7K8M3
contig_1	16963	17592	+	ALMCIJ_00150	25.3	9.4		SO:0001217, UniParc:UPI001AF953D1, UniRef:UniRef100_A0A7T7K7I4, UniRef:UniRef50_A0A7T7K7I4, UniRef:UniRef90_A0A7T7K7I4
contig_1	50774	51400	-	ALMCIJ_00320	23.7	5.2		
contig_1	52545	52784	-	ALMCIJ_00330	9.1	9.3		
contig_1	67352	67546	+	ALMCIJ_00410	7.7	8.0		SO:0001217, UniParc:UPI001AF76089, UniRef:UniRef100_A0A7T7GSM3, UniRef:UniRef50_A0A7S9XGU5, UniRef:UniRef90_A0A8B6MGP8
contig_1	90815	91066	+	ALMCIJ_00460	10.1	9.8		SO:0001217, UniParc:UPI001AF4A2B9, UniRef:UniRef100_A0A7T7K7K4, UniRef:UniRef50_A0A8B6MGQ6, UniRef:UniRef90_A0A7T7K7K4
contig_1	91078	91275	+	ALMCIJ_00465	7.5	9.0		SO:0001217, UniParc:UPI001AF5EDA1, UniRef:UniRef100_A0A7T7K7Y7, UniRef:UniRef50_A0A7T7K7Y7, UniRef:UniRef90_A0A7T7K7Y7
contig_1	91744	92022	+	ALMCIJ_00475	10.7	5.2		SO:0001217, UniParc:UPI001AFC9A52, UniRef:UniRef100_A0A7T7GSM0, UniRef:UniRef50_A0A7T7GSM0, UniRef:UniRef90_A0A7T7GSM0
contig_1	106588	107181	+	ALMCIJ_00550	22.8	7.8		
contig_1	110055	111245	+	ALMCIJ_00570	45.9	5.1		
contig_1	138019	138729	+	ALMCIJ_00725	28.5	5.3		SO:0001217, UniParc:UPI001AF54F80, UniRef:UniRef100_A0A7T7GSR8, UniRef:UniRef50_A0A7T8ESZ1, UniRef:UniRef90_A0A7T8ETA8
contig_1	138741	139397	+	ALMCIJ_00730	25.8	5.7		SO:0001217, UniParc:UPI001AFA89D8, UniRef:UniRef100_A0A7T7GSQ2, UniRef:UniRef50_A0A8B6MGV0, UniRef:UniRef90_A0A8B6MGV0
contig_1	164841	165524	-	ALMCIJ_00820	26.8	5.3		SO:0001217, UniParc:UPI001AF22297, UniRef:UniRef100_A0A7T7GSR3, UniRef:UniRef50_A0A7T8IXK5, UniRef:UniRef90_A0A7T8IXK5
contig_1	174416	174613	+	ALMCIJ_00880	7.7	9.5		SO:0001217, UniParc:UPI001AF961EF, UniRef:UniRef100_A0A7T7GSU5, UniRef:UniRef50_A0A8B6MGX5, UniRef:UniRef90_A0A8B6MGX5
contig_1	187849	187977	-	ALMCIJ_00945	5.3	8.0		SO:0001217, UniParc:UPI001AF49C10, UniRef:UniRef100_A0A7T7GST1, UniRef:UniRef50_A0A7T7GST1, UniRef:UniRef90_A0A7T7GST1
contig_1	220316	220867	+	ALMCIJ_01050	22.6	5.3		SO:0001217, UniParc:UPI001AF23B63, UniRef:UniRef100_A0A7T7GT42, UniRef:UniRef50_A0A7T7GT42, UniRef:UniRef90_A0A7T7GT42
contig_1	230391	230948	+	ALMCIJ_01110	22.4	4.8		SO:0001217, UniParc:UPI001AF9288F, UniRef:UniRef100_A0A7T7GT01, UniRef:UniRef50_A0A7T8ETG6, UniRef:UniRef90_A0A7T7GT01
contig_1	239847	240125	+	ALMCIJ_01150	10.3	4.3		
contig_1	248509	249051	+	ALMCIJ_01215	21.8	9.2		SO:0001217, UniParc:UPI001AF2B46E, UniRef:UniRef100_A0A7T7GT56, UniRef:UniRef50_A0A856M494, UniRef:UniRef90_A0A7T7GT56
contig_1	251104	252222	+	ALMCIJ_01235	43.6	5.7		
contig_1	252571	253245	+	ALMCIJ_01240	25.9	9.0		
contig_1	253378	253758	+	ALMCIJ_01245	14.6	4.4		
contig_1	257392	258117	+	ALMCIJ_01270	29.2	5.5		SO:0001217, UniParc:UPI001AF079B5, UniRef:UniRef100_A0A7T7K831, UniRef:UniRef50_A0A856M4A3, UniRef:UniRef90_A0A7T7K831
