hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
YSJKSCWX_CDS_0007	phanotate	7	353	RM_Type_II__Type_II_REases	2.500e-13	43.700	1.141	0.725	36	291
YSJKSCWX_CDS_0008	phanotate	8	370	DISARM_2__drmMII	2.900e-46	151.400	0.536	0.603	27	249
YSJKSCWX_CDS_0008	phanotate	8	370	Druantia_II__DruM	2.300e-79	260.500	0.848	0.932	23	367
YSJKSCWX_CDS_0008	phanotate	8	370	RM_Type_II__Type_II_MTases	2.100e-31	102.300	0.967	0.922	28	368
YSJKSCWX_CDS_0008	phanotate	8	370	RM_Type_II__Type_II_MTases	1.200e-31	103.300	0.508	0.516	27	217
YSJKSCWX_CDS_0008	phanotate	8	370	RM_Type_II__Type_II_MTases	3.300e-33	108.300	0.481	0.497	31	214
YSJKSCWX_CDS_0008	phanotate	8	370	RM_Type_II__Type_II_MTases	4.100e-35	114.500	0.585	0.611	25	250
YSJKSCWX_CDS_0008	phanotate	8	370	RM_Type_II__Type_II_MTases	3.100e-66	217.000	0.842	0.919	27	366
YSJKSCWX_CDS_0008	phanotate	8	370	RM_Type_II__Type_II_MTases	4.900e-85	279.100	0.978	0.927	24	366
YSJKSCWX_CDS_0032	phanotate	32	442	RM_Type_II__Type_II_MTases	3.700e-45	147.700	0.686	0.518	191	419
YSJKSCWX_CDS_0032	phanotate	32	442	RM_Type_II__Type_II_MTases	3.800e-59	193.500	0.697	0.695	119	425
YSJKSCWX_CDS_0033	phanotate	33	419	DISARM_2__drmMII	3.100e-34	111.800	0.472	0.408	2	172
YSJKSCWX_CDS_0033	phanotate	33	419	Druantia_II__DruM	3.700e-62	203.900	0.824	0.983	3	414
YSJKSCWX_CDS_0033	phanotate	33	419	RM_Type_II__Type_II_MTases	3.200e-21	68.700	0.462	0.394	6	170
YSJKSCWX_CDS_0033	phanotate	33	419	RM_Type_II__Type_II_MTases	2.300e-27	89.200	0.484	0.396	4	169
YSJKSCWX_CDS_0033	phanotate	33	419	RM_Type_II__Type_II_MTases	6.700e-43	140.500	0.964	0.988	2	415
YSJKSCWX_CDS_0033	phanotate	33	419	RM_Type_II__Type_II_MTases	1.300e-76	251.100	0.833	0.986	2	414
YSJKSCWX_CDS_0078	phanotate	78	451	DISARM_2__drmMII	7.700e-52	169.700	0.515	0.419	1	189
YSJKSCWX_CDS_0078	phanotate	78	451	Druantia_II__DruM	5.700e-71	232.900	0.842	0.987	1	445
YSJKSCWX_CDS_0078	phanotate	78	451	RM_Type_II__Type_II_MTases	3.300e-23	75.500	0.402	0.330	29	177
YSJKSCWX_CDS_0078	phanotate	78	451	RM_Type_II__Type_II_MTases	2.900e-34	111.700	0.467	0.370	4	170
YSJKSCWX_CDS_0078	phanotate	78	451	RM_Type_II__Type_II_MTases	4.000e-37	121.300	0.486	0.370	1	167
YSJKSCWX_CDS_0078	phanotate	78	451	RM_Type_II__Type_II_MTases	3.000e-59	194.300	0.970	0.980	1	442
YSJKSCWX_CDS_0078	phanotate	78	451	RM_Type_II__Type_II_MTases	8.800e-93	304.200	0.839	0.978	1	441
YSJKSCWX_CDS_0090	phanotate	90	336	Abi2__Abi_2	9.200e-30	97.500	0.983	0.586	41	237
YSJKSCWX_CDS_0090	phanotate	90	336	AbiD__AbiD	2.100e-29	96.100	0.740	0.759	4	258
YSJKSCWX_CDS_0092	phanotate	92	281	AbiEii__AbiEii	1.000e-40	133.400	0.954	0.804	33	258
YSJKSCWX_CDS_0093	phanotate	93	196	AbiEii__AbiEi_4	4.100e-12	39.400	0.918	0.230	6	50
YSJKSCWX_CDS_0098	phanotate	98	1820	RM_Type_II__Type_II_MTases	1.600e-10	33.500	0.658	0.114	660	867
YSJKSCWX_CDS_0098	phanotate	98	1820	RM_Type_II__Type_II_MTases	8.200e-15	47.700	0.522	0.102	653	837
YSJKSCWX_CDS_0101	phanotate	101	592	RT_I_II_III_IV_V_VI_1	1.600e-56	184.600	0.667	0.329	37	231
YSJKSCWX_CDS_0112	phanotate	112	409	Gao_Her_SIR__SIR2	8.900e-20	64.300	0.814	0.829	55	393
YSJKSCWX_CDS_0112	phanotate	112	409	PD-T7-2__PD-T7-2_A	1.000e-46	152.700	0.815	0.807	46	375
YSJKSCWX_CDS_0112	phanotate	112	409	pAgo__GbbAgaS	2.900e-23	75.500	0.910	0.834	54	394
YSJKSCWX_CDS_0113	phanotate	113	539	PD-T7-2__PD-T7-2_B	6.000e-48	156.600	0.942	0.972	14	537
