locus_tag	ftype	length_bp	gene	EC_number	COG	product
MZ333456_00001	CDS	462				unannotated protein
MZ333456_00002	CDS	1290				unannotated protein
MZ333456_00003	CDS	1476				unannotated protein
MZ333456_00004	CDS	1785				unannotated protein
MZ333456_00005	CDS	231				unannotated protein
MZ333456_00006	CDS	321				unannotated protein
MZ333456_00007	CDS	327				unannotated protein
MZ333456_00008	CDS	627				unannotated protein
MZ333456_00009	CDS	903				unannotated protein
MZ333456_00010	CDS	237				unannotated protein
MZ333456_00011	CDS	345				unannotated protein
MZ333456_00012	CDS	354				unannotated protein
MZ333456_00013	CDS	399				unannotated protein
MZ333456_00014	CDS	375				unannotated protein
MZ333456_00015	CDS	843				unannotated protein
MZ333456_00016	CDS	405				unannotated protein
MZ333456_00017	CDS	2925				unannotated protein
MZ333456_00018	CDS	735				unannotated protein
MZ333456_00019	CDS	2475				unannotated protein
MZ333456_00020	CDS	405				unannotated protein
MZ333456_00021	CDS	909				unannotated protein
MZ333456_00022	CDS	318				unannotated protein
MZ333456_00023	CDS	318				unannotated protein
MZ333456_00024	CDS	552				unannotated protein
MZ333456_00025	CDS	375				unannotated protein
MZ333456_00026	CDS	138				unannotated protein
MZ333456_00027	CDS	234				unannotated protein
MZ333456_00028	CDS	204				unannotated protein
MZ333456_00029	CDS	1260				unannotated protein
MZ333456_00030	CDS	1371				unannotated protein
MZ333456_00031	CDS	1164				unannotated protein
MZ333456_00032	CDS	240				unannotated protein
MZ333456_00033	CDS	240				unannotated protein
MZ333456_00034	CDS	429				unannotated protein
MZ333456_00035	CDS	414				unannotated protein
MZ333456_00036	CDS	210				unannotated protein
MZ333456_00037	CDS	285				unannotated protein
MZ333456_00038	CDS	699				unannotated protein
MZ333456_00039	CDS	174				unannotated protein
MZ333456_00040	CDS	156				unannotated protein
MZ333456_00041	CDS	420				unannotated protein
MZ333456_00042	CDS	237				unannotated protein
MZ333456_00043	CDS	687				unannotated protein
MZ333456_00044	CDS	894				unannotated protein
MZ333456_00045	CDS	681				unannotated protein
MZ333456_00046	CDS	954				unannotated protein
MZ333456_00047	CDS	303				unannotated protein
MZ333456_00048	CDS	525				unannotated protein
MZ333456_00049	CDS	228				unannotated protein
MZ333456_00050	CDS	861				unannotated protein
MZ333456_00051	CDS	750				unannotated protein
MZ333456_00052	CDS	246				unannotated protein
MZ333456_00053	CDS	351				unannotated protein
MZ333456_00054	CDS	243				unannotated protein
MZ333456_00055	CDS	237				unannotated protein
MZ333456_00056	CDS	324				unannotated protein
MZ333456_00057	CDS	354				unannotated protein
MZ333456_00058	CDS	501				unannotated protein
MZ333456_00059	CDS	201				unannotated protein
MZ333456_00060	CDS	417				unannotated protein
MZ333456_00061	tRNA	73				tRNA-Arg(tcg)
