locus_tag	ftype	length_bp	gene	EC_number	COG	product
MT836950_00001	CDS	261				unannotated protein
MT836950_00002	CDS	255				unannotated protein
MT836950_00003	CDS	327				unannotated protein
MT836950_00004	CDS	450				unannotated protein
MT836950_00005	CDS	177				unannotated protein
MT836950_00006	CDS	303				unannotated protein
MT836950_00007	CDS	237				unannotated protein
MT836950_00008	CDS	543				unannotated protein
MT836950_00009	CDS	849				unannotated protein
MT836950_00010	CDS	264				unannotated protein
MT836950_00011	CDS	2388				unannotated protein
MT836950_00012	CDS	1380				unannotated protein
MT836950_00013	CDS	1140				unannotated protein
MT836950_00014	CDS	306				unannotated protein
MT836950_00015	CDS	543				unannotated protein
