locus_tag	ftype	length_bp	gene	EC_number	COG	product
ON470608_00001	CDS	933				unannotated protein
ON470608_00002	CDS	297				unannotated protein
ON470608_00003	CDS	246				unannotated protein
ON470608_00004	CDS	387				unannotated protein
ON470608_00005	CDS	327				unannotated protein
ON470608_00006	CDS	240				unannotated protein
ON470608_00007	CDS	210				unannotated protein
ON470608_00008	CDS	261				unannotated protein
ON470608_00009	CDS	1485				unannotated protein
ON470608_00010	CDS	4038				unannotated protein
ON470608_00011	CDS	3069				unannotated protein
ON470608_00012	CDS	381				unannotated protein
ON470608_00013	CDS	483				unannotated protein
ON470608_00014	CDS	480				unannotated protein
ON470608_00015	CDS	2535				unannotated protein
ON470608_00016	CDS	378				unannotated protein
ON470608_00017	CDS	264				unannotated protein
ON470608_00018	CDS	384				unannotated protein
ON470608_00019	CDS	492				unannotated protein
ON470608_00020	CDS	366				unannotated protein
ON470608_00021	CDS	540				unannotated protein
ON470608_00022	CDS	333				unannotated protein
ON470608_00023	CDS	198				unannotated protein
ON470608_00024	CDS	318				unannotated protein
ON470608_00025	CDS	1239				unannotated protein
ON470608_00026	CDS	600				unannotated protein
ON470608_00027	CDS	1227				unannotated protein
ON470608_00028	CDS	162				unannotated protein
ON470608_00029	CDS	1752				unannotated protein
ON470608_00030	CDS	498				unannotated protein
ON470608_00031	CDS	255				unannotated protein
ON470608_00032	CDS	234				unannotated protein
ON470608_00033	CDS	198				unannotated protein
ON470608_00034	CDS	246				unannotated protein
ON470608_00035	CDS	294				unannotated protein
ON470608_00036	CDS	276				unannotated protein
ON470608_00037	CDS	348				unannotated protein
ON470608_00038	CDS	540				unannotated protein
ON470608_00039	CDS	312				unannotated protein
ON470608_00040	CDS	942				unannotated protein
ON470608_00041	CDS	444				unannotated protein
ON470608_00042	CDS	363				unannotated protein
ON470608_00043	CDS	981				unannotated protein
ON470608_00044	CDS	378				unannotated protein
ON470608_00045	CDS	810				unannotated protein
ON470608_00046	CDS	984				unannotated protein
ON470608_00047	CDS	462				unannotated protein
ON470608_00048	CDS	198				unannotated protein
ON470608_00049	CDS	660				unannotated protein
ON470608_00050	CDS	300				unannotated protein
ON470608_00051	CDS	786				unannotated protein
ON470608_00052	CDS	135				unannotated protein
ON470608_00053	CDS	345				unannotated protein
ON470608_00054	CDS	558				unannotated protein
ON470608_00055	CDS	186				unannotated protein
ON470608_00056	CDS	861				unannotated protein
ON470608_00057	CDS	1170				unannotated protein
ON470608_00058	tRNA	75				tRNA-Arg(cct)
ON470608_00059	CDS	1248				unannotated protein
ON470608_00060	CDS	915				unannotated protein
ON470608_00061	CDS	1434				unannotated protein
