CP133956.1_1097 # 1154468 # 1154899 # -1 # ID=1_1097;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.414	GENOMAD.158067.CP	6.950E-04	41	0
CP133956.1_1129 # 1180451 # 1181524 # -1 # ID=1_1129;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.412	GENOMAD.141001.CP	4.721E-11	67	0
CP133956.1_1257 # 1331621 # 1332142 # -1 # ID=1_1257;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.452	GENOMAD.000141.CC	8.533E-37	138	0
CP133956.1_1321 # 1395399 # 1395692 # -1 # ID=1_1321;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.340	GENOMAD.191196.PC	4.968E-10	57	0
CP133956.1_1353 # 1425270 # 1426931 # -1 # ID=1_1353;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.438	GENOMAD.117090.CP	5.848E-52	197	2561
CP133956.1_10 # 10701 # 11072 # 1 # ID=1_10;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.344	GENOMAD.012968.CC	1.129E-60	204	0
CP133956.1_106 # 124030 # 124317 # 1 # ID=1_106;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.462	GENOMAD.171879.CP	7.692E-05	42	0
CP133956.1_170 # 182659 # 183981 # 1 # ID=1_170;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.416	GENOMAD.116250.VP	4.660E-43	167	2561
CP133956.1_202 # 207626 # 208960 # 1 # ID=1_202;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.384	GENOMAD.006162.VV	6.011E-104	346	2561
CP133956.1_234 # 251529 # 251957 # 1 # ID=1_234;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.420	GENOMAD.167431.CP	6.067E-07	50	0
CP133956.1_1626 # 1729965 # 1732007 # -1 # ID=1_1626;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.464	GENOMAD.092979.CV	2.112E-89	313	0
CP133956.1_1658 # 1763826 # 1764860 # -1 # ID=1_1658;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.395	GENOMAD.013965.CC	5.015E-97	321	0
CP133956.1_1690 # 1795256 # 1796290 # -1 # ID=1_1690;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.433	GENOMAD.093762.CV	4.072E-57	205	2561
CP133956.1_1818 # 1935397 # 1936335 # -1 # ID=1_1818;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.426	GENOMAD.158180.CP	2.663E-04	45	0
CP133956.1_1850 # 1963236 # 1965044 # -1 # ID=1_1850;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.485	GENOMAD.215047.VC	6.398E-32	136	0
CP133956.1_891 # 959766 # 960056 # 1 # ID=1_891;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.402	GENOMAD.064542.VV	6.818E-53	180	2561
CP133956.1_858 # 931454 # 932473 # 1 # ID=1_858;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.425	GENOMAD.070016.VV	2.042E-22	102	2561
CP133956.1_922 # 979840 # 980142 # 1 # ID=1_922;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.363	GENOMAD.053561.VV	2.043E-51	176	2561
CP133956.1_1661 # 1766932 # 1767351 # 1 # ID=1_1661;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.450	GENOMAD.159773.CP	6.122E-05	44	0
CP133956.1_446 # 487566 # 488258 # 1 # ID=1_446;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.374	GENOMAD.183854.CP	6.576E-119	378	0
CP133956.1_510 # 558191 # 560842 # 1 # ID=1_510;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.473	GENOMAD.044828.VV	2.891E-04	47	2561
CP133956.1_574 # 615339 # 619979 # 1 # ID=1_574;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.433	GENOMAD.155244.VV	2.748E-04	48	0
CP133956.1_606 # 656067 # 656852 # 1 # ID=1_606;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.421	GENOMAD.152005.CP	3.547E-141	444	0
CP133956.1_1902 # 2022873 # 2023346 # -1 # ID=1_1902;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.435	GENOMAD.120967.CP	1.998E-05	46	0
CP133956.1_1553 # 1647936 # 1649300 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.451	GENOMAD.000049.CC	9.929E-61	220	0
CP133956.1_1585 # 1681164 # 1681874 # -1 # ID=1_1585;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.383	GENOMAD.097153.CP	1.043E-11	67	0
CP133956.1_1617 # 1721457 # 1722584 # -1 # ID=1_1617;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.402	GENOMAD.137467.CP	1.074E-33	137	0
CP133956.1_684 # 734009 # 735205 # 1 # ID=1_684;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;genetic_code=11;gc_cont=0.445	GENOMAD.006124.CC	1.372E-06	53	0
